,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
5474,Kama Ayurveda,3.9,200,763,Beauty & Personal Care,New Delhi +30 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
5475,Sakura Autoparts,3.7,200,822,Auto Components,Chennai +9 other locations,Company Culture,Promotions / Appraisal
5476,TRIGO Group,2.7,200,697,Auto Components,Chennai +26 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
5477,InSync Analytics,2.5,200,1.3k,Analytics & KPO,Mumbai +5 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
5478,Alghanim International,4.1,200,577,Engineering & Construction,Kuwait City +12 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
5479,Heads Up For Tails,3.7,200,883,Retail,Gurugram +19 other locations,,"Job Security, Promotions / Appraisal"
5480,Prologic Web Solutions,4.0,200,388,IT Services & Consulting,Noida +20 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
5481,Alghanim International,4.1,200,577,Engineering & Construction,Kuwait City +12 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
5482,Heads Up For Tails,3.7,200,883,Retail,Gurugram +19 other locations,,"Job Security, Promotions / Appraisal"
5483,Providence Global Center,3.6,201,1.7k,IT Services & Consulting,Hyderabad +2 other locations,"Work Life Balance, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Skill Development / Learning"
5484,Sapphire Software Solutions (India),4.4,200,318,IT Services & Consulting,Ahmedabad +5 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
5485,Bharat Broadband Network,3.8,200,786,Telecom,New Delhi +70 other locations,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Job Security, Salary & Benefits"
5486,Josh Talks,4.2,200,372,Broadcasting,Gurugram +15 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
5487,Sakura Autoparts,3.7,200,822,Auto Components,Chennai +9 other locations,Company Culture,Promotions / Appraisal
5488,Deep Industries,3.7,200,944,Oil & Gas,Ahmedabad +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5489,InSync Analytics,2.5,200,1.3k,Analytics & KPO,Mumbai +5 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
5490,ICA Pidilite,4.1,200,734,Furniture & Furnishing,Mumbai +41 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
5491,TRIGO Group,2.7,200,697,Auto Components,Chennai +26 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
5492,Dhampur Sugar Mills,4.0,200,721,Agro Chemicals,New Delhi +15 other locations,"Work Life Balance, Job Security, Skill Development / Learning",
5493,Pacific Development Corporation Limited (Pacific Group),3.5,200,1k,Real Estate,New Delhi +19 other locations,,"Company Culture, Promotions / Appraisal, Skill Development / Learning"
5494,Amphenol Fci,3.8,200,878,Electrical Equipment,Bengaluru +9 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
5495,Skypro Technologies,3.4,200,713,IT Services & Consulting,Bengaluru +33 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
5496,Fisdom,3.3,200,821,Financial Services,Bengaluru +32 other locations,,"Job Security, Work Satisfaction, Company Culture"
5497,MAKEEN Energy,3.8,200,473,Oil & Gas,Hyderabad +31 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance"
5498,Zen Technologies,4.0,200,820,Defence & Aerospace,Hyderabad +9 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
5499,Igarashi Motors,3.8,200,1.1k,Auto Components,Chennai +8 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5500,Manohar Filaments,3.8,200,911,Fashion & Textile,New Delhi +16 other locations,Skill Development / Learning,"Promotions / Appraisal, Company Culture"
5501,Jesons Industries,3.5,200,1.1k,Chemicals,Mumbai +12 other locations,,"Company Culture, Promotions / Appraisal, Work Satisfaction"
5502,Shirdi Sai Electricals,3.6,200,619,Power,Y.S.R. Kadapa +26 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5503,Tresor Systems,3.6,200,721,Retail,New Delhi +26 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
5504,Avaali Solutions,4.4,200,410,IT Services & Consulting,Bengaluru,"Job Security, Skill Development / Learning, Work Life Balance",
5505,Raksha TPA,4.1,199,762,Insurance,Faridabad +22 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
5506,Praxair,4.1,199,676,Chemicals,Bengaluru +28 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
5507,Daffodil Software,3.2,199,1.5k,IT Services & Consulting,Gurugram +6 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
5508,UFO Moviez,2.9,199,876,Media & Entertainment,Mumbai +31 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
5509,Mfine,3.7,199,1.2k,Internet,Bengaluru +15 other locations,"Company Culture, Work Life Balance","Job Security, Promotions / Appraisal, Skill Development / Learning"
5510,Aditi Consulting,3.4,199,1k,IT Services & Consulting,Bengaluru +7 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
5511,Sigma Freudenberg NOK,4.1,199,927,Auto Components,Chennai +18 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
5512,TP Northern Odisha Distribution,3.6,199,698,Power,Balasore +22 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5513,Gleeds Consulting (India) Pvt. Ltd,4.2,199,708,Real Estate,Bengaluru +20 other locations,"Company Culture, Work Life Balance, Job Security",
5514,UST BlueConch Technologies,3.6,199,1.2k,Software Product,Pune +6 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
5515,Ways2excel,4.4,199,61,EdTech,Kolkata +1 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
