,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
1314,K Raheja Corp,4.2,794,3.1k,Real Estate,Mumbai +17 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1315,Intex Technologies,3.7,794,1.5k,Consumer Electronics & Appliances,New Delhi +75 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
1316,Zidio Development,4.4,793,106,IT Services & Consulting,Bengaluru +35 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
1317,Praj Industries,4.0,793,3.3k,Biotechnology,Pune +45 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
1318,PUMA,4.1,793,2.5k,Fashion & Textile,Bengaluru +100 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
1319,Waaree Energies,4.0,790,3.3k,Power,Surat +54 other locations,"Salary & Benefits, Work Life Balance, Job Security",
1320,Zuventus Healthcare,3.9,789,2.2k,Pharma,Mumbai +99 other locations,Salary & Benefits,Promotions / Appraisal
1321,Qualitest,3.6,789,6.8k,IT Services & Consulting,Bengaluru +22 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
1322,Prince Pipes & Fittings,4.2,787,2.5k,Building Material,Mumbai +84 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
1323,RenewBuy,3.3,787,2.9k,Internet,Gurugram +107 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
1324,Wipro Consumer Care & Lighting,3.7,787,3.7k,FMCG,Bengaluru +119 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
1325,THE LEELA PALACES HOTELS & RESORTS,4.0,786,2.3k,Hospitality,New Delhi +33 other locations,"Job Security, Skill Development / Learning, Company Culture",
1326,IFFCO,4.1,786,1.9k,Agro Chemicals,New Delhi +115 other locations,"Job Security, Salary & Benefits, Work Life Balance",
1327,Skill Lync,3.1,786,3.5k,EdTech,Chennai +17 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
1328,Chennai Radha Engineering Works,3.9,785,2.3k,Engineering & Construction,Chennai +58 other locations,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
1329,Cigniti Technologies,3.8,784,6.7k,IT Services & Consulting,Hyderabad +9 other locations,,Promotions / Appraisal
1330,Nippon Koei India,4.8,784,1.2k,Engineering & Construction,New Delhi +69 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1331,Franklin Templeton Investments,3.8,783,4k,Financial Services,Hyderabad +33 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
1332,Engineers India,4.2,783,3.4k,Engineering & Construction,New Delhi +84 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
1333,Maveric Systems,3.3,782,7.3k,IT Services & Consulting,Chennai +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1334,Vastu Housing Finance,4.2,782,2.2k,NBFC,Mumbai +172 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
1335,Rallis India,4.0,781,2.5k,Agro Chemicals,Ankleshwar +118 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1336,Edubridge Learning,3.9,780,1.3k,EdTech,Mumbai +63 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
1337,Careernet,3.6,780,4.5k,Recruitment,Bengaluru +24 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
1338,Microtek International,3.7,781,2.7k,Consumer Electronics & Appliances,New Delhi +120 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1339,Aequs,3.4,779,3.4k,Defence & Aerospace,Belagavi +13 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
1340,Credence Resource Management,3.0,779,3.2k,BPO,Pune +9 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
1341,Indo Autotech,3.9,779,2.8k,Auto Components,Faridabad +33 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
1342,Jai Balaji Group,3.2,779,3.1k,Iron & Steel,Durgapur +41 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1343,Amber Enterprises India,3.9,780,2.9k,Electronics Manufacturing,Gurugram +44 other locations,Skill Development / Learning,
1344,AISIN,4.1,778,2.6k,Auto Components,Rohtak +28 other locations,"Work Life Balance, Company Culture, Job Security",
1345,NTT,3.8,778,4.8k,IT Services & Consulting,Mumbai +42 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1346,Reliance BP Mobility,3.6,777,2.7k,Oil & Gas,Mumbai +104 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
1347,Progressive Infotech,3.3,776,2.7k,IT Services & Consulting,Noida +68 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1348,Novac Technology Solutions,3.6,775,5.3k,Software Product,Chennai +24 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
1349,Dineshchandra R. Agrawal Infracon,4.0,776,2.5k,Engineering & Construction,Ahmedabad +81 other locations,"Job Security, Salary & Benefits, Work Life Balance",
1350,Y-Axis Overseas Careers,4.2,775,1.4k,Other,Hyderabad +17 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
1351,Pratap Technocrats,3.8,774,1.9k,Telecom,Ahmedabad +120 other locations,,"Promotions / Appraisal, Salary & Benefits"
1352,Reliance Smart,4.1,773,2.2k,Retail,Hyderabad +251 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
1353,First Advantage,3.5,773,5.2k,Recruitment,Bengaluru +12 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
1354,Somany Ceramics,4.2,773,2.7k,Building Material,New Delhi +86 other locations,"Work Life Balance, Company Culture, Job Security",
1355,Toyo Engineering,4.0,772,3.6k,Engineering & Construction,Mumbai +44 other locations,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
1356,Action Construction Equipment,3.7,773,2.8k,Industrial Machinery,Faridabad +59 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
1357,Radical Minds,2.9,771,2.6k,BPO,Gurugram +13 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1358,Ramkrishna Forgings,3.4,770,2.9k,Auto Components,Jamshedpur +28 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1359,Denave,3.5,772,2.7k,Marketing & Advertising,Noida +70 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
1360,Ask Automotive,4.2,771,3k,Auto Components,Gurugram +29 other locations,"Work Life Balance, Job Security, Company Culture",
1361,Simplilearn,3.3,768,4.5k,EdTech,Bengaluru +9 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
1362,Hilti,3.4,769,3.6k,Industrial Machinery,Gurugram +48 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
1363,Lea Associates South Asia,4.2,770,1.8k,Engineering & Construction,New Delhi +139 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
1364,Travel Food Services Ltd,4.1,769,2k,Hospitality,Mumbai +36 other locations,"Work Life Balance, Job Security, Company Culture",
1365,Cohance Lifesciences,3.8,920,3.1k,Pharma,Hyderabad +22 other locations,Work Life Balance,Promotions / Appraisal
1366,Creative Synergies Group,3.9,769,2.3k,IT Services & Consulting,Bengaluru +9 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
1367,Allied Digital Services,3.2,769,3.3k,IT Services & Consulting,Mumbai +56 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
1368,Lenovo,4.1,768,4k,Consumer Electronics & Appliances,Bengaluru +84 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1369,People Tech Group,2.3,769,5.2k,IT Services & Consulting,Hyderabad +12 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
1370,Wipro Infrastructure Engineering,3.7,766,3.9k,Industrial Machinery,Bengaluru +38 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1371,Universal Sompo General Insurance,4.4,767,2.1k,Insurance,Mumbai +121 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1372,Hitachi Digital Services,3.5,768,2.1k,IT Services & Consulting,Hyderabad +15 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
1373,Ugro Capital,3.7,768,2.7k,NBFC,Mumbai +166 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
1374,Ksb Pumps,3.8,766,3.4k,Industrial Machinery,Pune +39 other locations,Job Security,Promotions / Appraisal
1375,Forvia Hella,3.8,765,3.4k,Auto Components,Pune +32 other locations,Work Life Balance,Promotions / Appraisal
1376,Fleetguard Filters Private Limited,4.3,766,2.7k,Auto Components,Pune +84 other locations,"Company Culture, Work Life Balance, Job Security",
1377,Creambell,3.9,765,2.1k,Food Processing,New Delhi +105 other locations,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
1378,Axtria,2.8,765,7.5k,Software Product,Gurugram +8 other locations,,"Work Satisfaction, Company Culture, Work Life Balance"
1379,Bses Rajdhani Power,3.8,763,2.7k,Power,New Delhi +22 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1380,Fidelity International,3.6,761,5.7k,Financial Services,Gurugram +14 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1381,JioStar,3.5,761,4.7k,Media & Entertainment,Mumbai +42 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1382,Quatrro Business Support Services,3.3,760,2.6k,Gurugram +14 other locations,,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
1383,Dunzo,3.5,760,3.1k,Internet,Bengaluru +21 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
1384,Assystem,3.3,759,2.1k,Engineering & Construction,Chennai +68 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
1385,BNP Paribas India Solutions,3.6,759,6.4k,IT Services & Consulting,Mumbai +9 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1386,Alivus Life Sciences,3.8,757,4k,Pharma,Ankleshwar +22 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
1387,Times Internet,3.5,757,5.4k,Internet,Noida +24 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
1388,Better.com,3.0,757,4k,Financial Services,Gurugram +9 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal, Skill Development / Learning"
1389,Petpooja,4.0,756,1.6k,Software Product,Ahmedabad +75 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
1390,Samsung E&A,3.9,754,2.3k,Engineering & Construction,Noida +46 other locations,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
1391,Amadeus,3.7,754,7k,Software Product,Bengaluru +14 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
1392,Wapcos,3.3,752,2.3k,Engineering & Construction,New Delhi +145 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1393,McDermott International,4.2,754,3.5k,Engineering & Construction,Chennai +33 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
1394,Central Industrial Security Force,4.3,754,1.8k,Law Enforcement & Security,New Delhi +88 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
1395,Brane Enterprises,2.1,754,3.4k,Software Product,Hyderabad +12 other locations,,"Job Security, Company Culture, Work Satisfaction"
1396,1 India Family Mart,4.6,753,1.5k,Retail,New Delhi +99 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1397,Zee Entertainment Enterprises,3.4,754,4.3k,Media & Entertainment,Mumbai +35 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1398,VA Tech Wabag,3.8,752,2.9k,Waste Management,Chennai +53 other locations,Job Security,Promotions / Appraisal
1399,HSBC Software Development,4.1,752,8.2k,Software Product,Pune +8 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1400,Bunge India,4.0,752,3.1k,Food Processing,Sahibzada Ajit Singh Nagar +70 other locations,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
1401,Wabtec,3.9,752,4k,Auto Components,Bengaluru +30 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
1402,JM Financial,3.8,753,3.8k,Financial Services,Mumbai +69 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning"
1403,Finolex Cables,3.7,750,2.6k,Electrical Equipment,Pune +76 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
1404,CADD Centre Training Services,4.0,751,2k,Education & Training,Chennai +133 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
1405,National Informatics Centre,3.9,751,4.1k,Government,New Delhi +77 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Company Culture"
1406,BCD Travel,4.3,750,1.7k,Travel & Tourism,Bengaluru +11 other locations,"Job Security, Company Culture, Work Life Balance",
1407,Orion Edutech,3.1,750,1.4k,EdTech,Kolkata +114 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1408,Vaaman Engineers,3.8,751,2.2k,Engineering & Construction,Jharsuguda +46 other locations,,Promotions / Appraisal
1409,TO THE NEW,3.6,748,5.6k,IT Services & Consulting,Noida +19 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
1410,India Japan Lighting,4.1,749,2.6k,Auto Components,Chennai +30 other locations,"Company Culture, Work Life Balance, Job Security",
1411,ManipalCigna Health Insurance,3.7,746,3k,Insurance,Mumbai +133 other locations,,Promotions / Appraisal
1412,Hapag-Lloyd,3.8,745,3.1k,Ports & Shipping,Chennai +16 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1413,Sharda Motor Industries,3.8,745,2.8k,Auto Components,Chennai +27 other locations,,Promotions / Appraisal
1414,Integreon,3.2,743,3.9k,BPO,Mumbai +12 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1415,SLK Global Services,3.9,742,2.6k,BPO,Bengaluru +9 other locations,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
1416,India Cements,3.9,742,2.6k,Building Material,Chennai +93 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
1417,CMS Computers Limited (INDIA),3.6,742,3.2k,IT Services & Consulting,New Delhi +77 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
1418,Galfar,3.9,742,1.8k,Engineering & Construction,Muscat +40 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1419,Livguard,3.9,742,2.3k,Electronics Manufacturing,Gurugram +86 other locations,,Promotions / Appraisal
1420,Ascendion,3.3,742,3.7k,IT Services & Consulting,Bengaluru +16 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1421,Veradigm,3.7,740,3.5k,Software Product,Pune +9 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
1422,Bitwise Solutions,3.7,740,4.4k,IT Services & Consulting,Pune +9 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
1423,Primus Global Technologies,3.7,740,3k,IT Services & Consulting,Bengaluru +27 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
1424,OLX India,3.7,739,3.2k,Internet,Gurugram +57 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
1425,Padget Electronics,3.8,740,2.6k,Electronics Manufacturing,Noida +17 other locations,Skill Development / Learning,Promotions / Appraisal
1426,ESL Steel,3.8,739,2.1k,Iron & Steel,Bokaro +24 other locations,,Promotions / Appraisal
1427,Mswipe Technologies,3.2,739,2.3k,FinTech,Mumbai +97 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
1428,UnitedLex,2.7,738,3.6k,Analytics & KPO,New Delhi +12 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1429,Exicom,4.0,738,3k,Semiconductors,Gurugram +31 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
1430,Steel Authority Of India,4.1,738,2.2k,Iron & Steel,Bokaro +52 other locations,"Job Security, Work Life Balance, Work Satisfaction",
1431,Religare,3.6,738,2.5k,Financial Services,New Delhi +96 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
1432,Ameriprise Financial,3.7,738,5.1k,Financial Services,Gurugram +11 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
1433,LifeCell International,3.4,737,2.9k,Biotechnology,Chennai +75 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
1434,EMERSON PROCESS MANAGEMENT,4.0,737,4.4k,Industrial Automation,Pune +31 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
1435,Patel Infrastructure Limited,4.2,737,2.1k,Engineering & Construction,Vadodara +58 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1436,Mott MacDonald,4.0,736,2.7k,Management Consulting,Mumbai +49 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
1437,Protiviti,3.0,735,5.1k,Management Consulting,Gurugram +28 other locations,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
1438,Indusind Marketing & Financial Services,3.6,735,1.5k,Financial Services,Chennai +272 other locations,,"Promotions / Appraisal, Salary & Benefits"
1439,Care Hospital,4.1,732,2.1k,Healthcare,Hyderabad +43 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
1440,Celebal Technologies,3.0,733,4.4k,IT Services & Consulting,Jaipur +23 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
1441,GirnarSoft,3.6,732,3.4k,IT Services & Consulting,Gurugram +54 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1442,Deepak Nitrite,3.9,731,3.1k,Chemicals,Vadodara +20 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
1443,Boeing,3.8,730,6.9k,Aviation,Bengaluru +13 other locations,Work Life Balance,Promotions / Appraisal
1444,Stellantis,3.4,730,5k,Automobile,Chennai +16 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
1445,Greenply,3.8,730,2.4k,Building Material,Kolkata +96 other locations,Salary & Benefits,"Work Satisfaction, Job Security, Promotions / Appraisal"
1446,ASG Eye Hospital,3.5,730,1.7k,Healthcare,Jaipur +77 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1447,Vertex Customer Solutions,3.6,729,1.1k,IT Services & Consulting,Chennai +33 other locations,,"Work Satisfaction, Salary & Benefits, Job Security"
1448,The Akshaya Patra Foundation,4.4,729,1.9k,Non-Profit,Bengaluru +68 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1449,Adidas,3.9,729,3.7k,Fashion & Textile,Gurugram +69 other locations,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security"
1450,Isuzu Motors,4.1,730,3k,Automobile,Chennai +39 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
1451,Sun Life Financial,3.8,728,4.2k,Financial Services,Gurugram +12 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1452,Neuland Laboratories,4.1,728,2.9k,Pharma,Hyderabad +7 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1453,Rackspace,3.7,727,4.3k,IT Services & Consulting,Gurugram +15 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
1454,Smollan Group,3.9,725,1.8k,Marketing & Advertising,Mumbai +141 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1455,Google Operations Center,3.6,725,3.7k,BPO,Hyderabad +16 other locations,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Job Security"
1456,Transrail Lighting,4.0,724,2.5k,Engineering & Construction,Mumbai +99 other locations,"Job Security, Salary & Benefits, Work Life Balance",
1457,Lavender Technology,4.9,724,19,IT Services & Consulting,Bengaluru +8 other locations,"Company Culture, Promotions / Appraisal, Skill Development / Learning",
1458,Writer Information Management Services,3.1,724,2.7k,BPO,Mumbai +69 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1459,DuPont,4.2,722,3k,Waste Management,Hyderabad +47 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
1460,V-Trans,3.8,719,1.9k,Logistics,Mumbai +93 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
1461,ffreedom app,3.5,718,1.5k,Internet,Bengaluru +26 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
1462,Mindsprint,3.6,720,4.1k,IT Services & Consulting,Chennai +10 other locations,,"Promotions / Appraisal, Work Satisfaction"
1463,RITES,3.9,720,2.5k,Engineering & Construction,Gurugram +87 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
1464,McKinsey & Company,3.8,718,8.5k,Management Consulting,Gurugram +25 other locations,Company Culture,"Promotions / Appraisal, Work Life Balance"
1465,Aurigo Software Technologies,4.6,718,1k,Software Product,Bengaluru +6 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1466,Expleo Solutions,3.5,717,4.8k,IT Services & Consulting,Chennai +15 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1467,Molex,3.9,716,3.8k,Electronics Manufacturing,Bengaluru +17 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
1468,LG Soft India,2.8,716,4.5k,IT Services & Consulting,Bengaluru +15 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1469,Volkswagen Group Technology Solution,3.9,715,4.6k,IT Services & Consulting,Pune +14 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
1470,B. G. Shirke Construction Technology,4.2,714,2.7k,Engineering & Construction,Pune +26 other locations,"Job Security, Company Culture, Work Life Balance",
1471,Nvidia,3.5,713,5.3k,Hardware & Networking,Pune +19 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
1472,BDO India LLP,3.3,713,3.9k,Accounting & Auditing,Mumbai +35 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1473,TDK India Private Limited,3.9,713,2.2k,Nashik +26 other locations,,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1474,Koch Business Solutions,3.1,713,4.9k,IT Services & Consulting,Bengaluru +11 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1475,Sterlite Power,4.0,713,3.2k,Power,New Delhi +83 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
1476,Biba Apparels,3.5,712,2.2k,Fashion & Textile,New Delhi +97 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1477,Ag Industries,4.0,712,2.8k,Auto Components,Gurugram +32 other locations,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
1478,AI Airport Services,3.3,710,1.7k,Aviation,Mumbai +60 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1479,Mitsubishi Electric India,4.2,710,2.9k,Electronics Manufacturing,Pune +52 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1480,Electrosteel Casting,3.6,710,2.7k,Building Material,Kolkata +29 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1481,uFaber,2.2,709,1.4k,Education & Training,Mumbai +24 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
1482,Eugia Pharma Specialities,4.0,709,2.7k,Pharma,Hyderabad +18 other locations,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
1483,NecLife,3.6,708,2.3k,Pharma,Chandigarh +30 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
1484,Delta Electronics,3.9,710,3.6k,Electronics Manufacturing,Bengaluru +43 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
1485,XcelServ Solutions,4.4,708,419,IT Services & Consulting,New Delhi +33 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1486,Medreich,3.9,706,2.9k,Pharma,Bengaluru +14 other locations,Job Security,
1487,Genus Power Infrastructures,3.8,705,2.9k,Electronics Manufacturing,Jaipur +85 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
1488,BSH Home Appliances Group,3.8,705,2.4k,Consumer Electronics & Appliances,Bengaluru +59 other locations,Work Life Balance,Promotions / Appraisal
1489,Tavant Technologies,3.8,703,6.2k,IT Services & Consulting,Bengaluru +13 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
1490,Rentokil Pest Control,3.6,703,2k,Facility Management Services,Mumbai +111 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
1491,Sykes Business Services Of India,3.4,702,2.6k,BPO,Hyderabad +17 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1492,Home First Finance Company India,3.5,701,2.6k,NBFC,Mumbai +103 other locations,Salary & Benefits,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
1493,Bikanervala,3.9,701,2k,FMCG,New Delhi +69 other locations,Work Life Balance,Promotions / Appraisal
1494,Bristlecone,3.7,702,6k,IT Services & Consulting,Bengaluru +14 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1495,Redcliffe Labs,3.9,700,1.9k,Healthcare,New Delhi +83 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
1496,Turtlemint,3.6,700,2.5k,Internet,Mumbai +115 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
1497,Visteon,3.2,700,4.6k,Auto Components,Chennai +21 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
1498,Bahwan CyberTek,3.4,698,4.8k,IT Services & Consulting,Chennai +21 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
1499,Thriveni Earthmovers,3.9,698,2.5k,Metals & Mining,Jamshedpur +46 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
1500,Razorpay,3.4,699,6.3k,FinTech,Bengaluru +26 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
1501,TCNS Clothing Company,4.1,698,1.6k,Fashion & Textile,New Delhi +110 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
1502,URC Construction,3.7,697,2.4k,Engineering & Construction,Chennai +50 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
1503,Raychem RPG,3.7,696,2.4k,Electrical Equipment,Mumbai +33 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
1504,Evision Technoserve,4.7,697,211,IT Services & Consulting,Pune +44 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
1505,R.V.R. PROJECTS,3.9,698,1.7k,Engineering & Construction,Hyderabad +68 other locations,Salary & Benefits,Promotions / Appraisal
1506,Apple,4.3,696,5.3k,Consumer Electronics & Appliances,Bengaluru +107 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
1507,Gartner,3.8,695,6.5k,Management Consulting,Gurugram +18 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
1508,Mynd Solutions Private,3.7,695,3.2k,BPO,Gurugram +33 other locations,,"Promotions / Appraisal, Salary & Benefits"
1509,Eastman Auto and Power Limited,3.9,696,2k,Electronics Manufacturing,Gurugram +70 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
1510,Amrit Cement,3.9,693,1.5k,Building Material,Guwahati +50 other locations,"Work Life Balance, Skill Development / Learning",
1511,Lovely Professional University,3.3,693,2k,Education & Training,Jalandhar +31 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
1512,Diebold Nixdorf,3.6,693,3.5k,Software Product,Hyderabad +45 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
